Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,UFMG - COLEGIO TECNICO,31000019,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA PRESIDENTE ANTONIO CARLOS, 6.627 PREDIO DO COLTEC. PAMPULHA. 31270-901 Belo Horizonte - MG.",(31) 34094962,Federal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",,-19.87174833,-43.963275
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE AARAO REIS,31000027,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JAYME SALES, 330 MADRE GERTRUDES. 30518-320 Belo Horizonte - MG.",(31) 33861218,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-19.94993833,-44.00523833
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE BUENO BRANDAO,31000035,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA PARAIBA, 1145 FUNCIONARIOS. 30130-141 Belo Horizonte - MG.",(31) 32618475,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-19.9362411,-43.9330756
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE GUIA LOPES,31000051,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA BARAO DE CAMARGOS, 88 JARDIM INCONFIDENCIA. 30820-190 Belo Horizonte - MG.",(31) 34124400,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional",,-19.9086404,-43.9946101
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE PERO VAZ DE CAMINHA,31000060,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA PACAJA, 200 CACHOEIRINHA. 31150-310 Belo Horizonte - MG.",(31) 34211288,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,"Atendimento Educacional Especializado, Atividade Complementar",-19.8826324,-43.9454734
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE MAJOR DELFINO DE PAULA RICARDO,31000078,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA JOSE CLETO, 733 SANTA CRUZ. 31155-290 Belo Horizonte - MG.",(31) 34263500,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Fundamental,"Atendimento Educacional Especializado, Atividade Complementar",-19.87436,-43.93765
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE PROFESSOR JOSE MESQUITA DE CARVALHO,31000086,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA IRAI, 154 VILA PARIS. 30380-640 Belo Horizonte - MG.",(31) 25524877,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos","Atendimento Educacional Especializado, Atividade Complementar",-19.9481769,-43.94989
ESCOLA ATENDE EXCLUSIVAMENTE ALUNOS COM DEFICIÊNCIA,EE SANDRA RISOLETA DE LIMA HAUCK,31000108,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA SACADURA CABRAL, 402 VILA OESTE. 30532-060 Belo Horizonte - MG.",(31) 33884943,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,"Ensino Fundamental, Educação de Jovens Adultos",,-19.9377887,-44.0053427
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE CABANA DO PAI TOMAS,31000116,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DA CHACARA, 132 CABANA. 30512-060 Belo Horizonte - MG.",(31) 33861277,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,Atividade Complementar,-19.9445399,-44.0017961
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,EE DOUTOR SIMAO TAMM BIAS FORTES,31000124,MG,Belo Horizonte,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA MARIA BEATRIZ, 1200 HAVAI. 30555-140 Belo Horizonte - MG.",(31) 33121399,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos",Atividade Complementar,-19.95836,-43.97504
